indicator_code,disease_name,country_code,spatial_dim_type,year,numeric_value,low,high
TB_e_mort_exc_tbhiv_num,Tuberculosis,CPV,COUNTRY,2011,32.0,28.0,37.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,WPR,REGION,2004,281000.0,262000.0,300000.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,UKR,COUNTRY,2009,8600.0,8500.0,8800.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,FRA,COUNTRY,2003,1000.0,970.0,1000.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,ARM,COUNTRY,2023,27.0,22.0,34.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,CUB,COUNTRY,2010,45.0,45.0,45.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,CHL,COUNTRY,2010,550.0,540.0,560.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,GAB,COUNTRY,2009,1000.0,600.0,1600.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,GNQ,COUNTRY,2000,440.0,150.0,880.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,SGP,COUNTRY,2023,23.0,22.0,24.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,ARM,COUNTRY,2008,210.0,170.0,260.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,BEL,COUNTRY,2006,62.0,60.0,63.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,CIV,COUNTRY,2003,4700.0,2500.0,7500.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,ROU,COUNTRY,2007,1600.0,1600.0,1600.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,LSO,COUNTRY,2004,1600.0,570.0,3200.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,HND,COUNTRY,2007,380.0,310.0,460.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,PHL,COUNTRY,2001,35000.0,32000.0,39000.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,LBR,COUNTRY,2024,1600.0,1100.0,2200.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,IRN,COUNTRY,2024,920.0,890.0,950.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,JAM,COUNTRY,2013,4.0,4.0,4.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,JAM,COUNTRY,2022,8.0,6.0,9.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,UGA,COUNTRY,2024,4600.0,2200.0,7700.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,SEN,COUNTRY,2017,4500.0,3100.0,6200.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,LBY,COUNTRY,2023,840.0,370.0,1500.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,DEU,COUNTRY,2024,290.0,280.0,300.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,PRT,COUNTRY,2002,380.0,360.0,410.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,EST,COUNTRY,2017,24.0,23.0,24.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,CMR,COUNTRY,2011,7900.0,5500.0,11000.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,LBY,COUNTRY,2001,790.0,370.0,1400.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,TGO,COUNTRY,2021,700.0,270.0,1300.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,KEN,COUNTRY,2002,20000.0,8200.0,37000.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,DEU,COUNTRY,2005,450.0,450.0,460.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,LVA,COUNTRY,2020,61.0,60.0,63.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,MDG,COUNTRY,2007,12000.0,8400.0,16000.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,IDN,COUNTRY,2020,101000.0,93000.0,109000.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,TCD,COUNTRY,2001,1900.0,1100.0,2900.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,LTU,COUNTRY,2008,360.0,350.0,370.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,BIH,COUNTRY,2014,120.0,120.0,130.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,UKR,COUNTRY,2010,7800.0,7700.0,7900.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,ITA,COUNTRY,2017,300.0,300.0,300.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,HND,COUNTRY,2010,370.0,300.0,440.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,STP,COUNTRY,2018,44.0,30.0,60.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,USA,COUNTRY,2024,540.0,540.0,550.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,ARE,COUNTRY,2005,31.0,22.0,40.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,WB_HI,WORLDBANKINCOMEGROUP,2005,53000.0,52000.0,54000.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,BDI,COUNTRY,2013,2700.0,1800.0,3700.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,ZWE,COUNTRY,2014,1500.0,940.0,2200.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,UZB,COUNTRY,2022,510.0,490.0,520.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,TTO,COUNTRY,2009,20.0,19.0,20.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,RWA,COUNTRY,2010,650.0,410.0,930.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,MUS,COUNTRY,2019,17.0,17.0,17.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,MWI,COUNTRY,2024,1900.0,850.0,3300.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,WB_HI,WORLDBANKINCOMEGROUP,2013,31000.0,30000.0,32000.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,GNQ,COUNTRY,2023,64.0,17.0,140.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,ZWE,COUNTRY,2015,1100.0,710.0,1600.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,JAM,COUNTRY,2008,12.0,11.0,13.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,FSM,COUNTRY,2008,120.0,80.0,160.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,KIR,COUNTRY,2010,44.0,38.0,50.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,LTU,COUNTRY,2017,160.0,160.0,170.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,SLV,COUNTRY,2006,59.0,53.0,66.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,CUB,COUNTRY,2020,35.0,35.0,36.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,PAK,COUNTRY,2020,50000.0,40000.0,62000.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,NPL,COUNTRY,2011,20000.0,12000.0,31000.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,JOR,COUNTRY,2012,15.0,13.0,16.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,GEO,COUNTRY,2024,58.0,33.0,89.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,ARE,COUNTRY,2007,41.0,29.0,56.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,UZB,COUNTRY,2005,5000.0,3200.0,7100.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,TUR,COUNTRY,2019,410.0,400.0,430.0
