indicator_code,country_code,spatial_dim_type,year,sex_code,numeric_value,low,high
WHOSIS_000001,SOM,COUNTRY,2008,SEX_MLE,48.03754082,46.71678387,49.62845721
WHOSIS_000001,BTN,COUNTRY,2002,SEX_BTSX,67.84566543,67.08312422,68.55874474
WHOSIS_000001,BHR,COUNTRY,2011,SEX_FMLE,75.20535884,75.05047771,75.38517504
WHOSIS_000001,SAU,COUNTRY,2005,SEX_FMLE,73.12227378,72.80645298,73.47894822
WHOSIS_000001,CYP,COUNTRY,2003,SEX_MLE,76.86012885,76.67123665,77.16347738
WHOSIS_000001,DNK,COUNTRY,2014,SEX_MLE,78.61687489,78.59347689,78.7057478
WHOSIS_000001,PHL,COUNTRY,2007,SEX_BTSX,69.58190674,69.27042318,69.99117192
WHOSIS_000001,MAR,COUNTRY,2020,SEX_FMLE,73.86985157,73.33215257,74.42699856
WHOSIS_000001,WSM,COUNTRY,2004,SEX_FMLE,72.08095548,71.56647872,72.73081838
WHOSIS_000001,JOR,COUNTRY,2014,SEX_MLE,78.39096907,77.9773549,78.89185172
WHOSIS_000001,URY,COUNTRY,2015,SEX_BTSX,77.09925201,77.05355529,77.20308276
WHOSIS_000001,DNK,COUNTRY,2020,SEX_FMLE,83.16166983,83.13841156,83.25733665
WHOSIS_000001,PRI,COUNTRY,2020,SEX_MLE,76.14090106,76.05102592,76.30635768
WHOSIS_000001,GHA,COUNTRY,2005,SEX_MLE,58.2958344,57.73964597,59.00903347
WHOSIS_000001,TON,COUNTRY,2019,SEX_BTSX,72.94212581,72.39303564,73.64425455
WHOSIS_000001,JOR,COUNTRY,2009,SEX_FMLE,76.55739127,76.24832572,76.90901942
WHOSIS_000001,TUR,COUNTRY,2012,SEX_MLE,73.77355049,73.35270086,74.18741879
WHOSIS_000001,BRA,COUNTRY,2003,SEX_BTSX,72.30491342,72.02894266,72.58864374
WHOSIS_000001,FJI,COUNTRY,2006,SEX_BTSX,67.08069927,66.83476265,67.36102486
WHOSIS_000001,NIC,COUNTRY,2020,SEX_MLE,71.71241065,71.39890481,72.07787079
WHOSIS_000001,IRQ,COUNTRY,2003,SEX_MLE,65.68953983,64.89438575,66.62662104
WHOSIS_000001,BGD,COUNTRY,2017,SEX_MLE,72.08322327,71.46217486,72.89170185
WHOSIS_000001,TON,COUNTRY,2016,SEX_BTSX,72.56032607,71.92825937,73.19726025
WHOSIS_000001,SWE,COUNTRY,2016,SEX_MLE,80.36714012,80.36303372,80.44718723
WHOSIS_000001,GLOBAL,GLOBAL,2015,SEX_BTSX,72.18568947,71.71225781,72.66885564
WHOSIS_000001,AUS,COUNTRY,2006,SEX_BTSX,81.04245453,81.03700874,81.11608627
WHOSIS_000001,ISL,COUNTRY,2005,SEX_BTSX,80.90304444,80.80183544,81.10646149
WHOSIS_000001,COD,COUNTRY,2018,SEX_FMLE,63.60932257,62.68629835,64.59326208
WHOSIS_000001,FSM,COUNTRY,2001,SEX_BTSX,63.81961029,63.18020379,64.49686133
WHOSIS_000001,NGA,COUNTRY,2018,SEX_MLE,61.26091993,60.11076654,62.4237436
WHOSIS_000001,KEN,COUNTRY,2007,SEX_BTSX,58.55063756,57.73834102,59.23246103
WHOSIS_000001,ATG,COUNTRY,2016,SEX_BTSX,75.54812509,75.26119899,75.85072805
WHOSIS_000001,BWA,COUNTRY,2005,SEX_MLE,50.84700013,49.64729021,52.20969406
WHOSIS_000001,CYP,COUNTRY,2004,SEX_FMLE,81.50500335,81.33599663,81.76925412
WHOSIS_000001,TUN,COUNTRY,2013,SEX_FMLE,79.10734252,78.4865653,79.95492648
WHOSIS_000001,CZE,COUNTRY,2017,SEX_FMLE,81.69092888,81.65996467,81.80087964
WHOSIS_000001,PNG,COUNTRY,2011,SEX_BTSX,65.03278821,64.32389717,65.91541809
WHOSIS_000001,FRA,COUNTRY,2012,SEX_FMLE,84.52986176,84.47185824,84.58786527
WHOSIS_000001,ESP,COUNTRY,2016,SEX_MLE,80.0420428,79.98194724,80.10213836
WHOSIS_000001,JAM,COUNTRY,2011,SEX_BTSX,72.86139713,72.6861071,73.10765661
WHOSIS_000001,SVK,COUNTRY,2020,SEX_MLE,73.48147988,73.43699005,73.60505041
WHOSIS_000001,WB_HI,WORLDBANKINCOMEGROUP,2002,SEX_BTSX,77.91958141,77.90362021,77.99571724
WHOSIS_000001,SWE,COUNTRY,2005,SEX_MLE,78.31471805,78.31267054,78.38802065
WHOSIS_000001,LBR,COUNTRY,2021,SEX_FMLE,64.26883806,62.83963072,65.37267181
WHOSIS_000001,IRL,COUNTRY,2004,SEX_MLE,75.93998811,75.91643091,76.04515005
WHOSIS_000001,SUR,COUNTRY,2000,SEX_BTSX,70.55904903,70.22081576,71.00143639
WHOSIS_000001,UZB,COUNTRY,2009,SEX_BTSX,66.2800996,65.97043394,66.59868172
WHOSIS_000001,NZL,COUNTRY,2018,SEX_FMLE,83.36205057,83.32410343,83.44852765
WHOSIS_000001,GNB,COUNTRY,2014,SEX_MLE,54.70521169,53.69402578,55.86665143
WHOSIS_000001,OMN,COUNTRY,2001,SEX_FMLE,76.00067092,75.45487758,76.65899873
WHOSIS_000001,DJI,COUNTRY,2012,SEX_MLE,61.18324458,60.01778639,62.5548227
WHOSIS_000001,WPR,REGION,2016,SEX_MLE,73.92346253,73.54226981,74.32411083
WHOSIS_000001,ECU,COUNTRY,2017,SEX_BTSX,77.31252311,76.98704781,77.7151026
WHOSIS_000001,TTO,COUNTRY,2018,SEX_MLE,70.59042495,70.33123238,70.87131746
WHOSIS_000001,NZL,COUNTRY,2003,SEX_BTSX,79.05551434,79.02408803,79.14850346
WHOSIS_000001,IND,COUNTRY,2018,SEX_MLE,68.87555599,68.35001557,69.47412105
WHOSIS_000001,ALB,COUNTRY,2013,SEX_BTSX,77.77410839,77.32303546,78.31119909
WHOSIS_000001,LSO,COUNTRY,2014,SEX_MLE,46.03257198,44.8919612,47.37528775
WHOSIS_000001,EST,COUNTRY,2001,SEX_FMLE,76.47111928,76.36928575,76.62864887
WHOSIS_000001,CHL,COUNTRY,2005,SEX_BTSX,78.0049121,77.98583386,78.0847708
WHOSIS_000001,BTN,COUNTRY,2018,SEX_FMLE,74.94852418,74.30722839,75.63214889
WHOSIS_000001,ESP,COUNTRY,2001,SEX_FMLE,82.75513079,82.68677272,82.82348886
WHOSIS_000001,ZWE,COUNTRY,2021,SEX_BTSX,58.48102238,57.77939563,59.3735111
WHOSIS_000001,NGA,COUNTRY,2020,SEX_FMLE,64.43518594,63.40696985,65.38601771
WHOSIS_000001,RUS,COUNTRY,2011,SEX_BTSX,69.77052933,69.75994142,69.8325113
WHOSIS_000001,HTI,COUNTRY,2005,SEX_BTSX,58.63996581,57.83890036,59.58483627
WHOSIS_000001,TUR,COUNTRY,2021,SEX_MLE,72.53640214,72.08313833,73.08049586
WHOSIS_000001,BEN,COUNTRY,2020,SEX_BTSX,64.40363479,63.58290733,65.43045395
WHOSIS_000001,GRC,COUNTRY,2000,SEX_MLE,75.97017437,75.95733777,76.05833999
WHOSIS_000001,BFA,COUNTRY,2005,SEX_BTSX,55.19811279,54.36159536,55.9755655
WHOSIS_000001,KGZ,COUNTRY,2000,SEX_BTSX,65.93470005,65.58023279,66.43341638
WHOSIS_000001,CYP,COUNTRY,2010,SEX_BTSX,81.17822871,80.98532615,81.44885623
WHOSIS_000001,BIH,COUNTRY,2015,SEX_MLE,74.52760304,74.45944434,74.66124238
WHOSIS_000001,MLT,COUNTRY,2017,SEX_BTSX,82.05744637,81.95150584,82.2551923
WHOSIS_000001,RUS,COUNTRY,2010,SEX_FMLE,74.76350378,74.74626578,74.8398971
WHOSIS_000001,WB_LI,WORLDBANKINCOMEGROUP,2001,SEX_BTSX,54.40413809,53.45241935,55.55347049
WHOSIS_000001,TCD,COUNTRY,2011,SEX_BTSX,56.17787256,55.27298897,57.09772657
WHOSIS_000001,BGD,COUNTRY,2000,SEX_MLE,63.71118475,63.24300038,64.31105101
WHOSIS_000001,COD,COUNTRY,2019,SEX_FMLE,64.08077318,63.32812207,64.96872991
WHOSIS_000001,SEAR,REGION,2007,SEX_BTSX,66.92530001,66.43864031,67.51624854
WHOSIS_000001,TCD,COUNTRY,2012,SEX_MLE,55.13300401,54.18474274,56.18927739
WHOSIS_000001,NLD,COUNTRY,2010,SEX_FMLE,82.50005909,82.48381662,82.57574464
WHOSIS_000001,TON,COUNTRY,2021,SEX_BTSX,72.72088222,72.06895262,73.52335539
WHOSIS_000001,DNK,COUNTRY,2013,SEX_BTSX,80.1645831,80.14262375,80.25635595
WHOSIS_000001,NIC,COUNTRY,2004,SEX_MLE,72.86952492,72.57185099,73.2107035
