indicator_code,country_code,spatial_dim_type,year,sex_code,cause_code,numeric_value,low,high
SDG_SH_DTH_RNCOM,WB_UMI,WORLDBANKINCOMEGROUP,2001,SEX_BTSX,GHECAUSES_GHE061,3081693.0,2516843.0,3650523.0
SDG_SH_DTH_RNCOM,AFG,COUNTRY,2011,SEX_FMLE,GHECAUSES_GHE110,28640.11,16228.71,45023.28
SDG_SH_DTH_RNCOM,GMB,COUNTRY,2013,SEX_FMLE,GHECAUSES_GHE061,198.6638,108.1855,334.1858
SDG_SH_DTH_RNCOM,LBR,COUNTRY,2000,SEX_FMLE,GHECAUSES_GHE061,775.2343,469.1099,1217.134
SDG_SH_DTH_RNCOM,VNM,COUNTRY,2003,SEX_MLE,GHECAUSES_GHE110,96826.94,66625.98,135380.1
SDG_SH_DTH_RNCOM,LUX,COUNTRY,2000,SEX_FMLE,GHECAUSES_GHE080,31.74455,22.23046,44.00793
SDG_SH_DTH_RNCOM,ATG,COUNTRY,2014,SEX_MLE,GHECAUSES_GHE110,100.0603,75.69859,128.415
SDG_SH_DTH_RNCOM,GNQ,COUNTRY,2008,SEX_BTSX,GHECAUSES_GHE080,247.4755,132.6219,416.8745
SDG_SH_DTH_RNCOM,GNB,COUNTRY,2018,SEX_MLE,GHECAUSES_GHE061,287.2466,158.3862,473.6536
SDG_SH_DTH_RNCOM,AFG,COUNTRY,2004,SEX_FMLE,GHECAUSES_GHE110,25582.19,14142.64,40708.89
SDG_SH_DTH_RNCOM,MRT,COUNTRY,2002,SEX_BTSX,GHECAUSES_GHE061,1204.21,752.4626,1841.697
SDG_SH_DTH_RNCOM,VNM,COUNTRY,2013,SEX_MLE,GHECAUSES_GHE110,135153.9,92717.98,189175.4
SDG_SH_DTH_RNCOM,THA,COUNTRY,2016,SEX_BTSX,GHECAUSES_GHE080,28660.71,20088.11,39189.48
SDG_SH_DTH_RNCOM,GMB,COUNTRY,2008,SEX_BTSX,GHECAUSES_GHE117,310.5407,164.3356,527.8393
SDG_SH_DTH_RNCOM,RWA,COUNTRY,2009,SEX_MLE,GHECAUSES_GHE061,2393.824,1384.781,3904.562
SDG_SH_DTH_RNCOM,GTM,COUNTRY,2012,SEX_BTSX,GHECAUSES_GHE080,7485.295,5654.912,9591.276
SDG_SH_DTH_RNCOM,ETH,COUNTRY,2008,SEX_BTSX,GHECAUSES_GHE080,17079.84,12675.38,22339.47
SDG_SH_DTH_RNCOM,MNE,COUNTRY,2009,SEX_MLE,GHECAUSES_GHE080,84.61075,62.09555,112.7064
SDG_SH_DTH_RNCOM,MLI,COUNTRY,2012,SEX_BTSX,GHECAUSES_GHE080,2647.264,1543.665,4202.946
SDG_SH_DTH_RNCOM,BLR,COUNTRY,2014,SEX_BTSX,GHECAUSES_GHE117,2099.427,1573.714,3627.871
SDG_SH_DTH_RNCOM,BHS,COUNTRY,2015,SEX_BTSX,GHECAUSES_GHE117,45.2005,30.77103,63.52777
SDG_SH_DTH_RNCOM,BIH,COUNTRY,2013,SEX_BTSX,GHECAUSES_GHE117,1332.72,968.7584,1738.802
SDG_SH_DTH_RNCOM,BHR,COUNTRY,2008,SEX_FMLE,GHECAUSES_GHE117,66.42216,41.6209,96.27751
SDG_SH_DTH_RNCOM,FIN,COUNTRY,2013,SEX_BTSX,GHECAUSES_GHE080,496.3999,385.1949,621.8216
